# ScienceGPT Logs — level=ERROR lines=200 of 460 (72591 total)
# /home/azureuser/SummarizationTool/backend/output/logs/app.log

2026-03-05 17:59:08 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 17:59:31 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 17:59:32 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 17:59:34 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 17:59:36 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 17:59:37 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 17:59:38 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 17:59:39 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 17:59:40 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 17:59:41 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 18:00:02 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 18:00:03 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 18:00:08 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 18:00:09 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 18:00:11 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 18:00:12 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 18:00:28 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 18:00:34 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 18:01:13 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 18:01:13 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 18:01:15 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 18:01:16 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 18:01:18 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 18:01:19 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 18:01:20 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 18:01:22 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 18:01:46 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
